vote_id,yes,no,abstain
66e2e55e-85a8-4b05-9182-d37e232e5e43,0,28,0
1982f8d6-27c9-4f6b-a26f-191a3078d1c1,0,28,0
bbbe162d-bbaf-4a80-8688-58e4541e85c0,0,28,0
f60cd685-0d42-4b41-93be-39eb5c809845,0,27,0
6bff8d86-38e8-4bfe-80bd-8472b275a9f0,0,17,0
b0fcee43-a33b-4820-9873-c419f38848b0,0,17,0
9e877200-a166-4292-b08b-31d7e0e6f381,0,19,0
4a0c4fff-514c-469a-ba6f-5e596164d513,0,21,0
421bfa0f-56ce-47e0-bbdf-8c2c94640837,0,26,0
c564f866-4b34-4e70-8518-35af8a363162,0,26,0
4d6eb23e-68a1-4528-ae68-a6a070114c64,26,0,0
fa5a0f04-f9c4-4f88-bc23-9ce5cd6e2021,0,26,0
e2f007db-dc5a-480c-af24-a15a1e009204,15,0,0
9feece7a-29a1-4b05-9446-89b4b2a97f6f,15,1,0
82266b8e-27f4-4185-8205-79181781b297,0,15,1
b87017a3-3f05-4c47-b174-506fbfc34bc2,0,2,14
4f98ec86-5cbb-43ff-b58c-44c87efbb2f5,0,19,0
da424221-76f8-44ac-948b-c0f4369ae634,0,18,0
dec1ce40-701f-46da-b2d5-ad038a823afc,0,19,0
cccb42f7-b1dc-4091-82b0-9297e1851911,0,17,0
371b623a-fad6-42dd-96a1-5f4ba2dca354,0,19,0
a335c8b6-9e2c-4bb0-8fd2-e77ea0370fa0,0,22,0
be7f89b5-9343-4af3-87ff-34f0cbf2c9d2,0,25,0
ed54dcb6-38ce-4026-b90d-91e0dafc1e8f,0,25,0
7c19b215-c1c3-4281-9bf0-55cd32765b6e,20,0,0
a968031d-f143-479e-8d0d-eabf38d11943,0,18,0
1deebe44-92c3-4763-80fa-74caecc7257a,0,18,0
2b984bbd-e94e-4cc0-bfd4-5c740e615c9c,0,19,0
251d0d6e-7b63-4980-8fd5-014f79870a21,23,0,0
e44fc6cb-5192-4ad3-8389-6b78bcfa7617,0,22,1
694bbbb0-99fc-47b7-aa93-c052b662a1dc,0,23,0
5b5535de-0bcf-468d-9a0a-21a6f6a636c8,0,23,0
b9bf9ec8-2bcf-4d16-b470-f0ebe54a51f1,24,0,0
02c11156-f5b9-4478-bbb7-d03f022ef869,21,0,0
7339f71b-0bfd-4b6c-a5f9-70bf6851ccee,22,0,0
5219a954-22c5-4ad5-b2df-fee4cd3e1834,0,0,25
c0182e77-5630-4b0e-9952-30b378549b1f,0,23,0
4eb5a0e3-8bd1-48b6-a11e-6ef330ce2bdd,1,0,16
23abeb37-51b8-4eac-bab2-0581d9316094,19,0,3
90a9b6f3-925b-4e3d-a01b-1098b1a1f7c8,0,22,0
016df873-7687-4e59-acd3-d12e87b9a904,0,23,0
bd9ac801-bca1-4f44-8696-48a9711c93c8,19,0,0
f3f61f6a-bc6f-480a-ab24-9e8501e321bf,27,0,0
7ff91c94-8bcb-4e93-bb4e-952a67b03a90,23,0,0
2027435c-9a0f-4e1d-890d-f9168e25c386,0,20,0
ca60c64a-6458-4485-b15d-e55c5eb9803f,0,24,0
3a0214be-41c0-43e9-b4f6-12d2b26c9308,0,23,0
e5676e81-2d63-47b4-be20-20d4a65abac2,0,24,0
d271fac8-62fe-4390-a75e-af301e8cf44d,0,4,22
f66c02c9-fb04-46f9-8df5-c8a0b6590cd2,0,31,0
37b2627e-ec89-41d3-8f08-1ea1a15c4259,24,0,0
aa98a82b-697b-4622-8a0c-3a0c948d6b63,8,4,0
edc15e90-109b-4d8d-bd34-a23d29ca4d81,0,23,0
6ad520c4-060b-40bc-8dea-4f0890b77986,7,19,0
aab96cb1-8e7e-42e1-b2f8-515040e2ef0c,0,29,0
0786a678-e054-4710-bda7-21c77ef22dbb,0,31,0
13941fc6-cf8b-4d78-b394-2558d2a5951e,24,8,0
010ed835-1b58-4c9c-aa49-88d5a2b4011a,0,1,20
90505e4f-a02c-42da-9285-398bb5f222e9,0,32,0
89ec9452-5ea2-4e6e-a169-5e9958bee135,34,0,0
ff64fbb5-012c-4896-a83d-1bbca6002f93,32,0,0
